Год издания,title,url,Availability,Библиографическое описание,Тип издания,Коллекции,Автор,Заглавие,Number_of_Images,Images
1942,16 ноября. Окрестности Борисова,http://elib.shpl.ru/ru/nodes/39633-die-wahrheit-uber-sowjetrussland-februar-1942-nr-1-2-propusk-dlya-perehoda-v-plen-locale-nil-b-m-1942,1,"Die Wahrheit über Sowjetrussland. Februar 1942. Nr. 1-2 : [пропуск для перехода в плен]. – Б.м., [1942?]. – [4] с.: ил. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Die Wahrheit über Sowjetrussland. Februar 1942. Nr. 1-2,4,"2941003, 2941005, 2941007, 2941011"
1942,"1809 г. Войска Прозоровского, Багратиона, положение турецких войск",http://elib.shpl.ru/ru/nodes/39641-dises-traurige-los-hat-hitler-den-deutschen-soldaten-bereitet-die-gefangenschaft-ist-ihre-einzige-rettung-locale-nil-b-m-1942,1,"Dises traurige Los hat Hitler den deutschen Soldaten bereitet. Die Gefangenschaft ist ihre einzige Rettung : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил.  – Содерж.: Vergiss nicht mein! : Brief und Gedicht  wurden bei einem an der Ostfront gestorbenen Soldaten gefunden. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Dises traurige Los hat Hitler den deutschen Soldaten bereitet. Die Gefangenschaft ist ihre einzige Rettung,2,"2941170, 2941172"
1942,"1810 г. Положение армии гр. Каменского 2-го к 20 марта, Расположение турецких войск в апреле.",http://elib.shpl.ru/ru/nodes/39644-eine-neue-luge-des-hitlerschen-oberkommandos-locale-nil-b-m-1942,1,"– [2] с.: ил. – В конце текста: Das Informationsbüro der Sowjetunion . – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Eine neue Lüge  des Hitlerschen Oberkommandos,2,"2941184, 2941186"
1942,1916 г. Поход против Румынии,http://elib.shpl.ru/ru/nodes/39648-englische-bomben-auf-deutschland-locale-nil-b-m-1942,1,"Englische Bomben auf Deutschland : Hitler hat befohlen, ihn ""über die Angriffe auf Köln und Essen auf dem laufenden zu halten"". Dem Führer wird gemeldet... : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Содерж.: Der Brandstifter / Johannes R. Becher. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Englische Bomben auf Deutschland,2,"2941201, 2941202"
1942,2-й батальон 19 пехотного полка во 2 половине октября 1918 г.,http://elib.shpl.ru/ru/nodes/39652-feldpostsperre-in-deutschland-briefwechsel-erzatz-gruss-und-kuss-von-goebbels-locale-nil-b-m-1942,1,"Feldpostsperre in Deutschland. Briefwechsel-Erzatz. Gruss und Kuss von Goebbels... : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Текст начинается словами: Deutscher Soldat! Solange es noch nicht zu spät ist, lass dich gefangenehmen mit dem Passierschein ... – Часть текста парал нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Feldpostsperre in Deutschland. Briefwechsel-Erzatz. Gruss und Kuss von Goebbels...,2,"2941313, 2941315"
1942,2-й план Фридландского сражения 2 июня 1807 г. (с 6 часов пополудни),http://elib.shpl.ru/ru/nodes/39650-folge-ihrem-beispiel-locale-nil-b-m-1942,1,"Folge ihrem Beispiel! : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Текст начинается словами: Deutsche Soldaten! Ihr weicht züruck unter den Schlägen der Roten Armee ... – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Folge ihrem Beispiel!,2,"2941210, 2941211"
1942,2-я атака Плевны,http://elib.shpl.ru/ru/nodes/39653-fragen-die-hitler-beantwortet-gelassen-hat-1941-1942-locale-nil-b-m-1942,1,"Fragen, die Hitler beantwortet gelassen hat: 1941-1942 : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,"Fragen, die Hitler beantwortet gelassen hat: 1941-1942",2,"2941317, 2941319"
1942,3-я атака Плевны 30 августа 1877 г.,http://elib.shpl.ru/ru/nodes/39655-goebbels-jeder-deutsche-muss-es-jetzt-fur-seine-elementare-politische-pflicht-halten-nicht-zu-fragen-wann-dieser-krieg-zu-ende-sein-wird-locale-nil-b-m-1942,1,"Goebbels: Jeder Deutsche muss es jetzt für seine elementare politische Pflicht halten, nicht zu fragen, wann dieser Krieg zu Ende sein wird : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Содерж.: Lügenbold Goebbels : [стихотворение]. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,"Goebbels: Jeder Deutsche muss es jetzt für seine elementare politische Pflicht halten, nicht zu fragen, wann dieser Krieg zu Ende sein wird",2,"2941326, 2941328"
1942,"32-я пехотная дивизия 6, 7, 8 сентября 1914 г.",http://elib.shpl.ru/ru/nodes/39643-hitler-enthauptet-das-oberkommando-der-deutschen-wehrmacht-locale-nil-b-m-1942,1,"Hitler enthauptet das Oberkommando der deutschen Wehrmacht : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Hitler enthauptet das Oberkommando der deutschen Wehrmacht,2,"2941179, 2941181"
1942,7 августа. К востоку от Смоленска,http://elib.shpl.ru/ru/nodes/39640-hoflich-wie-noch-nie-locale-nil-b-m-1942,1,"Höflich wie noch nie... : Goebels rief die Berliner Bevölkerung zur Teilnahme an einem ""Höflichkeits-Wettbewerb"" auf: ""Der Wettbewerb soll 40 Berliner namhaft machen, die trotz der Lasten des Krieges stets höflich bleiben : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Часть текста парал. нем., рус. – Содерж.: Höflich wie noch nie... / Johannes R. Becher . – На нем.  яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Höflich wie noch nie...,2,"2941165, 2941167"
1942,Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 1]. - 1814.,http://elib.shpl.ru/ru/nodes/39354-locale-nil-10-fevral-1942-goda-locale-nil-1942,1,"Жизнь военнопленных в Советской России : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942.  – Листовки служат пропуском для перехода в плен . № 10 : Февраль 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 2,2,"2934009, 2934011"
1942,Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 2]. - 1814.,http://elib.shpl.ru/ru/nodes/39592-locale-nil-102-fevral-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 102 : Февраль 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 102,2,"2940381, 2940383"
1942,Carte etnographique de la Russie occidentale et des pays limitrophe en Pologne et en Galicie,http://elib.shpl.ru/ru/nodes/39592-locale-nil-102-fevral-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 102 : Февраль 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 102,2,"2940381, 2940383"
1942,Cхема движения Armee Navale,http://elib.shpl.ru/ru/nodes/39605-locale-nil-103-fevral-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 103 : Февраль 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 103,2,"2940507, 2940509"
1942,Dantzic,http://elib.shpl.ru/ru/nodes/39608-locale-nil-106-fevral-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 106 : Февраль 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 106,2,"2940520, 2940522"
1942,Elbing,http://elib.shpl.ru/ru/nodes/39614-locale-nil-111-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 111 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 111,2,"2940611, 2940613"
1942,Europa´s Zukunfiskarte,http://elib.shpl.ru/ru/nodes/39613-locale-nil-110-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 110 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 110,2,"2940607, 2940609"
1942,Europa´s Zukunfiskarte,http://elib.shpl.ru/ru/nodes/39612-locale-nil-109-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 109 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 109,2,"2940603, 2940605"
1942,Pologne ou Lechie,http://elib.shpl.ru/ru/nodes/39616-locale-nil-113-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 113 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 113,2,"2940625, 2940627"
1942,Pologne sous Stanislav Auguste en 1770,http://elib.shpl.ru/ru/nodes/39619-locale-nil-116-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 116 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 116,2,"2940640, 2940643"
1942,Абсолютное количество крупного рогатого скота в Европейской России,http://elib.shpl.ru/ru/nodes/39620-locale-nil-117-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 117 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 117,2,"2940737, 2940739"
1942,Абсолютное количество площадей в Европейской России,http://elib.shpl.ru/ru/nodes/39621-locale-nil-118-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 118 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 118,2,"2940741, 2940743"
1942,Австрийская атака против барража,http://elib.shpl.ru/ru/nodes/39339-locale-nil-12-mart-1942-goda-locale-nil-1942,1,"Жизнь военнопленных в Советской России : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942.  – Листовки служат пропуском для перехода в плен . № 12 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 12,2,"2933632, 2933634"
1942,Австрия,http://elib.shpl.ru/ru/nodes/39623-locale-nil-120-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 120 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 120,2,"2940749, 2940751"
1942,Австро-Венгерское наступление в Италии в 1918 г.,http://elib.shpl.ru/ru/nodes/39371-locale-nil-124-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 124 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 124,2,"2934657, 2934659"
1942,Австро-Венгрия ; Германская империя ; Балканский полуостров,http://elib.shpl.ru/ru/nodes/39372-locale-nil-125-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 125 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 125,2,"2934661, 2934663"
1942,Административная карта Европейской России,http://elib.shpl.ru/ru/nodes/39374-locale-nil-127-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 127 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 127,2,"2934749, 2934751"
1942,Административная карта СССР (Азиатская часть),http://elib.shpl.ru/ru/nodes/39343-locale-nil-13-mart-1942-goda-locale-nil-1942,1,"Жизнь военнопленных в Советской России : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942.  – Листовки служат пропуском для перехода в плен . № 13 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 13,2,"2933653, 2933655"
1942,Азиатская часть бывшей Российской Империи,http://elib.shpl.ru/ru/nodes/39378-locale-nil-131-mart-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 131 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 131,2,"2934768, 2934770"
1942,Азов и его окрестности в конце XVII века,http://elib.shpl.ru/ru/nodes/39381-locale-nil-135-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 135 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 135,2,"2934782, 2934784"
1942,Алатырь Симбирской губернии,http://elib.shpl.ru/ru/nodes/39384-locale-nil-138-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 138 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 138,2,"2934904, 2934906"
1942,Александров Владимирского Наместничества,http://elib.shpl.ru/ru/nodes/39386-locale-nil-142-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 142 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 142,2,"2934911, 2934913"
1942,Александровск Екатеринославской губернии,http://elib.shpl.ru/ru/nodes/39387-locale-nil-143-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 143 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 143,2,"2934916, 2934918"
1942,Алексин Тульского Наместничества,http://elib.shpl.ru/ru/nodes/39398-locale-nil-152-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 152 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 152,2,"2935072, 2935074"
1942,"Альбом схематических карт районов СССР на весну 1935 года. – М., 1935.",http://elib.shpl.ru/ru/nodes/39367-locale-nil-153-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 153 : Апрель 1942 года.  – 1942. – [2] с.",агитационный материал,,,№ 153,2,"2934638, 2934640"
1942,Альминское сражение 8-20 сентября 1854 г.,http://elib.shpl.ru/ru/nodes/39399-locale-nil-154-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 154 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 154,2,"2935077, 2935079"
1942,Американская запретная зона,http://elib.shpl.ru/ru/nodes/39400-locale-nil-155-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 155 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 155,2,"2935081, 2935084"
1942,Англия и Франция в XII веке,http://elib.shpl.ru/ru/nodes/39403-locale-nil-158-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 158 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 158,2,"2935096, 2935098"
1942,Анкона,http://elib.shpl.ru/ru/nodes/39405-locale-nil-160-aprel-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 160 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 160,2,"2935178, 2935180"
1942,Ардаган,http://elib.shpl.ru/ru/nodes/39406-locale-nil-172-may-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 172 : Май 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 172,2,"2935185, 2935182"
1942,Ардатов Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/39407-locale-nil-173-may-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 173 : Май 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 173,2,"2935187, 2935189"
1942,Ардатов Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/39409-locale-nil-175-may-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 175 : Май 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 175,2,"2935196, 2935198"
1942,Ардатов Симбирской губернии,http://elib.shpl.ru/ru/nodes/39411-locale-nil-177-may-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 177 : Май 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 177,2,"2935205, 2935208"
1942,Арзамас Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/39418-locale-nil-184-may-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 184 : Май 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 184,2,"2935321, 2935324"
1942,Артиллерийское и продфуражное снабжение и этапная служба 8 армии к началу операции в мае 1916 г.,http://elib.shpl.ru/ru/nodes/39422-locale-nil-188-may-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 188 : Май 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 188,2,"2935342, 2935345"
1942,Архангельск,http://elib.shpl.ru/ru/nodes/39356-locale-nil-193-iyun-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 193 : Июнь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 193,2,"2934018, 2934020"
1942,Архангельск Вологодского Наместничества,http://elib.shpl.ru/ru/nodes/39426-locale-nil-191-may-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 191 : Май 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 191,2,"2935530, 2935533"
1942,Археологическая карта бассейна реки Пола в пределах Овсянского уезда,http://elib.shpl.ru/ru/nodes/39358-locale-nil-195-iyun-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 195 : Июнь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 195,2,"2934028, 2934030"
1942,Археологическая карта Кубанской области,http://elib.shpl.ru/ru/nodes/39359-locale-nil-196-iyun-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 196 : Июнь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 196,2,"2934033, 2934035"
